10329	"Sydney - South West Operations "
10330	"Sydney - Far South West Operations "
10331	"Sydney - Rural Operations "
10332	"Sydney - Extended Care Paramedic 1 "
10333	"Sydney - Extended Care Paramedic 2 "
10334	"Sydney - Incident 1 "
10335	"Sydney - Incident 2 "
10336	"Sydney - Incident 3 "
10337	"Sydney - Incident 4 "
10338	"Sydney - Incident 5 "
10339	"Sydney - Incident 6 "
10340	"Sydney - Incident 7 "
10341	"Sydney - Sports "
10342	"Sydney - Workshops "
10343	"Sydney - Hospital North "
10344	"Sydney - Hospital South "
10345	"Sydney - Hospital East "
10346	"Sydney - Hospital West "
10358	"All - IT Support "
"20301"	"North - Newcastle Operations "
"20302"	"North - Outer Hunter Operations "
"20303"	"North - Gosford Operations "
20304	"North - Extended Care Paramedic 4 "
20305	"North - Incident 1 "
20306	"North - Incident 2 "
20307	"North - Incident 3 "
20308	"North - Incident 4 "
20309	"West - Mid West Operations "
20310	"West - Macquarie Operations 1 "
20311	"West - Macquarie Operations 2 "
20312	"West - New England Operations 1 "
20313	"West - New England Operations 2 "
20314	"West - Extended Care Paramedic 5 "
20315	"West - Incident 1 "
20316	"West - Incident 2 "
20317	"West - Incident 3 "
20318	"West - Hospital 1 "
20319	"West - Hospital 2 "
"20320"	"North - Hunter Hospitals "
30301	"South - Far South Coast Operations "
30302	"South - Illawarra Operations "
30304	"South - Wagga Operations "
30305	"South - Riverina Operations "
30306	"South - Murray Operations "
30307	"South - Extended Care Paramedic 3 "
30308	"South - Incident 1 "
30309	"South - Incident 2 "
30310	"South - Incident 3 "
30311	"South - Incident 4 "
30312	"South - Incident 5 "
30313	"South - Incident 6 "
30314	"South - Illawarra Hospitals "
30315	"South - Goulburn Hospitals "
30316	"South - Shoalhaven Operations "
30320	"South - ACT Ambulance Liaison "
"30321"	"South - South East Operations "
10450	"VKG GRN TAC TG "
10451	"VKG GRN TAC TG "
10451	"VKG GRN TAC TG "
10452	"VKG GRN TAC TG "
10453	"VKG GRN TAC TG "
10454	"VKG GRN TAC TG "
10455	"VKG GRN TAC TG "
10456	"VKG GRN TAC TG "
10457	"VKG GRN TAC TG "
10458	"VKG GRN TAC TG "
10459	"VKG GRN TAC TG "
11101	" "
11102	" "
11103	" "
11104	"Rail SEC 1 "
11105	"Rail SEC 2 "
11106	"Rail SEC 3 "
11107	"Rail SEC 4 "
11108	"Rail PATROL 1 "
11109	"Rail PATROL 2 "
11110	"Rail PATROL 3 "
11111	"Rail CONSEC "
11112	"Rail SP OPS 1 "
11113	"Rail SP OPS 2 "
11114	"Rail SP OPS 3 "
11115	"Rail REV PR 1 "
11116	"Rail REV PR 2 "
11117	"Rail REV PR 3 "
11118	"Rail REV PR 4 "
11119	"Fire "
11120	"Rail BLACK 1 "
11121	"Rail BLACK 2 "
11122	"Rail CITY 1 "
11123	"Rail CITY 2 "
11124	"Rail GOSFORD 1 "
11125	"Rail GOSFORD 2 "
11126	"Rail NEWC 1 "
11127	"Rail NEWC 2 "
11128	"Rail SOUTH 1 "
11129	"Rail SOUTH 2 "
11130	"Rail ILLAW 1 "
11131	"Rail ILLAWA 2 "
11132	"Rail S COAST 1 "
11133	" "
11134	" "
11135	" "
11136	"Rail CHAN 01 "
11137	" "
11138	" "
11139	" "
11140	" "
11141	" "
11142	" "
11143	" "
11144	"Rail Channel 9 "
11145	"Rail Hunter Operations "
11146	"Rail Hunter Incidents "
11147	"Rail CHAN 12 "
11148	" "
11149	" "
11150	" "
11151	"Rail ""All Channels"" "
11152	" "
11153	" "
11154	" "
11155	" "
11156	" "
11157	" "
11158	"Rail "
11159	" "
11160	" "
11161	" "
11162	" "
11163	" "
11164	" "
11165	" "
11166	" "
11167	" "
11168	"Rail SW Rail 1 "
11169	"Rail SW Rail 2 "
11170	" "
11171	" "
11172	" "
11173	"Rail Rail 6 "
11174	" "
11175	" "
11176	" "
11177	" "
11178	" "
11179	" "
11180	" "
11181	" "
11182	" "
11183	" "
11184	"Rail "
11185	" "
11186	" "
11187	" "
